人数,时长(h),日固定成本,结算价,含补贴,盈亏平衡单量,人均需达单量,补贴条件满足
2,3.0,183.33,2.5元,否,73.3,36.7,N/A
2,3.0,183.33,2.5元,是,41.3,20.7,人均20.7 > 20，符合
2,3.0,183.33,2.0元,否,91.7,45.8,N/A
2,3.0,183.33,2.0元,是,51.7,25.8,人均25.8 > 20，符合
2,6.5,393.33,2.5元,否,157.3,78.7,N/A
2,6.5,393.33,2.5元,是,125.3,62.7,人均62.7 > 20，符合
2,6.5,393.33,2.0元,否,196.7,98.3,N/A
2,6.5,393.33,2.0元,是,156.7,78.3,人均78.3 > 20，符合
3,3.0,273.33,2.5元,否,109.3,36.4,N/A
3,3.0,273.33,2.5元,是,77.3,25.8,人均25.8 > 20，符合
3,3.0,273.33,2.0元,否,136.7,45.6,N/A
3,3.0,273.33,2.0元,是,96.7,32.2,人均32.2 > 20，符合
3,6.5,588.33,2.5元,否,235.3,78.4,N/A
3,6.5,588.33,2.5元,是,203.3,67.8,人均67.8 > 20，符合
3,6.5,588.33,2.0元,否,294.2,98.1,N/A
3,6.5,588.33,2.0元,是,254.2,84.7,人均84.7 > 20，符合
5,6.5,978.33,2.5元,否,391.3,78.3,N/A
5,6.5,978.33,2.5元,是,359.3,71.9,人均71.9 > 20，符合
5,6.5,978.33,2.0元,否,489.2,97.8,N/A
5,6.5,978.33,2.0元,是,449.2,89.8,人均89.8 > 20，符合
2,8.0,483.33,2.5元,否,193.3,96.7,N/A
2,8.0,483.33,2.5元,是,161.3,80.7,人均80.7 > 20，符合
2,8.0,483.33,2.0元,否,241.7,120.8,N/A
2,8.0,483.33,2.0元,是,201.7,100.8,人均100.8 > 20，符合
3,8.0,723.33,2.5元,否,289.3,96.4,N/A
3,8.0,723.33,2.5元,是,257.3,85.8,人均85.8 > 20，符合
3,8.0,723.33,2.0元,否,361.7,120.6,N/A
3,8.0,723.33,2.0元,是,321.7,107.2,人均107.2 > 20，符合
