单量,场景,人均单量,订单收入,补贴,总收入,日成本,日利润,单均利润,补贴达标
10,推广期,5.0,25.0,0,25.0,183,-158,-15.83,✗
10,常规期,5.0,20.0,0,20.0,183,-163,-16.33,✗
15,推广期,7.5,37.5,0,37.5,183,-146,-9.72,✗
15,常规期,7.5,30.0,0,30.0,183,-153,-10.22,✗
20,推广期,10.0,50.0,0,50.0,183,-133,-6.67,✗
20,常规期,10.0,40.0,0,40.0,183,-143,-7.17,✗
25,推广期,12.5,62.5,0,62.5,183,-121,-4.83,✗
25,常规期,12.5,50.0,0,50.0,183,-133,-5.33,✗
30,推广期,15.0,75.0,0,75.0,183,-108,-3.61,✗
30,常规期,15.0,60.0,0,60.0,183,-123,-4.11,✗
35,推广期,17.5,87.5,0,87.5,183,-96,-2.74,✗
35,常规期,17.5,70.0,0,70.0,183,-113,-3.24,✗
40,推广期,20.0,100.0,0,100.0,183,-83,-2.08,✗
40,常规期,20.0,80.0,0,80.0,183,-103,-2.58,✗
45,推广期,22.5,112.5,80,192.5,183,+9,+0.20,✓
45,常规期,22.5,90.0,80,170.0,183,-13,-0.30,✓
50,推广期,25.0,125.0,80,205.0,183,+22,+0.43,✓
50,常规期,25.0,100.0,80,180.0,183,-3,-0.07,✓
55,推广期,27.5,137.5,80,217.5,183,+34,+0.62,✓
55,常规期,27.5,110.0,80,190.0,183,+7,+0.12,✓
60,推广期,30.0,150.0,80,230.0,183,+47,+0.78,✓
60,常规期,30.0,120.0,80,200.0,183,+17,+0.28,✓
65,推广期,32.5,162.5,80,242.5,183,+59,+0.91,✓
65,常规期,32.5,130.0,80,210.0,183,+27,+0.41,✓
70,推广期,35.0,175.0,80,255.0,183,+72,+1.02,✓
70,常规期,35.0,140.0,80,220.0,183,+37,+0.52,✓
75,推广期,37.5,187.5,80,267.5,183,+84,+1.12,✓
75,常规期,37.5,150.0,80,230.0,183,+47,+0.62,✓
80,推广期,40.0,200.0,80,280.0,183,+97,+1.21,✓
80,常规期,40.0,160.0,80,240.0,183,+57,+0.71,✓
