日均单量,月单量,最优配置,人数,时长(h),日人力成本,月人力成本,月物料成本,月订单收入,月人头补贴,月总收入,月总成本,月毛利,毛利率,单均收入,单均成本,单均毛利,补贴资格,人均单量,产能利用率
40,1200,2人×3.0h,2,3.0,5500.0,5400.0,100,3000.0,0,3000.0,5500.0,-2500.0,-83.3,2.5,4.58,-2.08,✗,20.0,67%
50,1500,2人×3.0h,2,3.0,5500.0,5400.0,100,3750.0,2400,6150.0,5500.0,650.0,10.6,4.1,3.67,0.43,✓,25.0,83%
60,1800,2人×3.0h,2,3.0,5500.0,5400.0,100,4500.0,2400,6900.0,5500.0,1400.0,20.3,3.83,3.06,0.78,✓,30.0,100%
70,2100,2人×3.5h,2,3.5,6400.0,6300.0,100,5250.0,2400,7650.0,6400.0,1250.0,16.3,3.64,3.05,0.6,✓,35.0,100%
80,2400,2人×4.0h,2,4.0,7300.0,7200.0,100,6000.0,2400,8400.0,7300.0,1100.0,13.1,3.5,3.04,0.46,✓,40.0,100%
90,2700,2人×4.5h,2,4.5,8200.0,8100.0,100,6750.0,2400,9150.0,8200.0,950.0,10.4,3.39,3.04,0.35,✓,45.0,100%
100,3000,2人×5.0h,2,5.0,9100.0,9000.0,100,7500.0,2400,9900.0,9100.0,800.0,8.1,3.3,3.03,0.27,✓,50.0,100%
120,3600,2人×6.0h,2,6.0,10900.0,10800.0,100,9000.0,2400,11400.0,10900.0,500.0,4.4,3.17,3.03,0.14,✓,60.0,100%
150,4500,2人×7.5h,2,7.5,13600.0,13500.0,100,11250.0,2400,13650.0,13600.0,50.0,0.4,3.03,3.02,0.01,✓,75.0,100%
180,5400,7人×3.0h,7,3.0,19000.0,18900.0,100,13500.0,2400,15900.0,19000.0,-3100.0,-19.5,2.94,3.52,-0.57,✓,25.7,100%
200,6000,6人×4.0h,6,4.0,21700.0,21600.0,100,15000.0,2400,17400.0,21700.0,-4300.0,-24.7,2.9,3.62,-0.72,✓,33.3,100%
250,7500,6人×5.0h,6,5.0,27100.0,27000.0,100,18750.0,2400,21150.0,27100.0,-5950.0,-28.1,2.82,3.61,-0.79,✓,41.7,100%
300,9000,7人×5.0h,7,5.0,31600.0,31500.0,100,22500.0,2400,24900.0,31600.0,-6700.0,-26.9,2.77,3.51,-0.74,✓,42.9,100%
350,10500,8人×5.0h,8,5.0,36100.0,36000.0,100,26250.0,2400,28650.0,36100.0,-7450.0,-26.0,2.73,3.44,-0.71,✓,43.8,100%
400,12000,9人×5.0h,9,5.0,40600.0,40500.0,100,30000.0,2400,32400.0,40600.0,-8200.0,-25.3,2.7,3.38,-0.68,✓,44.4,100%
450,13500,10人×5.0h,10,5.0,45100.0,45000.0,100,33750.0,2400,36150.0,45100.0,-8950.0,-24.8,2.68,3.34,-0.66,✓,45.0,100%
500,15000,9人×6.5h,9,6.5,52750.0,52650.0,100,37500.0,2400,39900.0,52750.0,-12850.0,-32.2,2.66,3.52,-0.86,✓,55.6,96%
