日均单量,月单量,配置,总人数,总工时(h),日人力,日总成本,产能上限,产能利用率,人均单量,月人力成本,月物料,月订单收入,月补贴,月总收入,月总成本,月毛利,毛利率,单均收入,单均成本,单均毛利,补贴,补贴人均
40,1200,1锚定×3h + 1高峰×2.0h,2,5.0,150.0,153.0,41.0,98%,20.0,4500.0,100,2400.0,2400,4800.0,4600.0,200.0,4.2,4.0,3.83,0.17,✓,20.0≥20
50,1500,1锚定×3h + 1高峰×3.0h,2,6.0,180.0,183.0,54.0,93%,25.0,5400.0,100,3000.0,2400,5400.0,5500.0,-100.0,-1.9,3.6,3.67,-0.07,✓,25.0≥20
60,1800,1锚定×3h + 2高峰×2.0h,3,7.0,210.0,213.0,61.0,98%,20.0,6300.0,100,3600.0,2400,6000.0,6400.0,-400.0,-6.7,3.33,3.56,-0.22,✓,20.0≥20
70,2100,1锚定×3h + 2高峰×2.5h,3,8.0,240.0,243.0,72.0,97%,23.3,7200.0,100,4200.0,2400,6600.0,7300.0,-700.0,-10.6,3.14,3.48,-0.33,✓,23.3≥20
80,2400,1锚定×3h + 2高峰×3.0h,3,9.0,270.0,273.0,84.0,95%,26.7,8100.0,100,4800.0,2400,7200.0,8200.0,-1000.0,-13.9,3.0,3.42,-0.42,✓,26.7≥20
90,2700,1锚定×3h + 3高峰×2.5h,4,10.5,315.0,318.0,98.0,92%,22.5,9450.0,100,5400.0,2400,7800.0,9550.0,-1750.0,-22.4,2.89,3.54,-0.65,✓,22.5≥20
100,3000,1锚定×3h + 4高峰×2.0h,5,11.0,330.0,333.0,101.0,99%,20.0,9900.0,100,6000.0,2400,8400.0,10000.0,-1600.0,-19.0,2.8,3.33,-0.53,✓,20.0≥20
120,3600,1锚定×3h + 4高峰×2.5h,5,13.0,390.0,393.0,122.0,98%,24.0,11700.0,100,7200.0,2400,9600.0,11800.0,-2200.0,-22.9,2.67,3.28,-0.61,✓,24.0≥20
150,4500,1锚定×3h + 5高峰×3.0h,6,18.0,540.0,543.0,174.0,86%,25.0,16200.0,100,9000.0,2400,11400.0,16300.0,-4900.0,-43.0,2.53,3.62,-1.09,✓,25.0≥20
180,5400,1锚定×3h + 8高峰×2.0h,9,19.0,570.0,573.0,181.0,99%,20.0,17100.0,100,10800.0,2400,13200.0,17200.0,-4000.0,-30.3,2.44,3.19,-0.74,✓,20.0≥20
200,6000,1锚定×3h + 6高峰×3.0h,7,21.0,630.0,633.0,204.0,98%,28.6,18900.0,100,12000.0,2400,14400.0,19000.0,-4600.0,-31.9,2.4,3.17,-0.77,✓,28.6≥20
250,7500,1锚定×3h + 8高峰×3.0h,9,27.0,810.0,813.0,264.0,95%,27.8,24300.0,100,15000.0,2400,17400.0,24400.0,-7000.0,-40.2,2.32,3.25,-0.93,✓,27.8≥20
300,9000,1锚定×3h + 14高峰×2.0h,15,31.0,930.0,933.0,301.0,100%,20.0,27900.0,100,18000.0,2400,20400.0,28000.0,-7600.0,-37.3,2.27,3.11,-0.84,✓,20.0≥20
350,10500,1锚定×3h + 11高峰×3.0h,12,36.0,1080.0,1083.0,354.0,99%,29.2,32400.0,100,21000.0,2400,23400.0,32500.0,-9100.0,-38.9,2.23,3.1,-0.87,✓,29.2≥20
400,12000,1锚定×3h + 19高峰×2.0h,20,41.0,1230.0,1233.0,401.0,100%,20.0,36900.0,100,24000.0,2400,26400.0,37000.0,-10600.0,-40.2,2.2,3.08,-0.88,✓,20.0≥20
450,13500,1锚定×3h + 15高峰×3.0h,16,48.0,1440.0,1443.0,474.0,95%,28.1,43200.0,100,27000.0,2400,29400.0,43300.0,-13900.0,-47.3,2.18,3.21,-1.03,✓,28.1≥20
500,15000,1锚定×3h + 16高峰×3.0h,17,51.0,1530.0,1533.0,504.0,99%,29.4,45900.0,100,30000.0,2400,32400.0,46000.0,-13600.0,-42.0,2.16,3.07,-0.91,✓,29.4≥20
