日均单量,月单量,配置,总人数,总工时(h),产能上限,产能利用率,人均单量,日补贴,月人力成本,月物料,月订单收入,月人头补贴,月总收入,月总成本,月毛利,毛利率,单均收入,单均成本,单均毛利,补贴,人均详情
40,1200,1锚×3h+1峰×2h,2,5.0,41.0,98%,20.0,80,4500.0,100,3000.0,2400,5400.0,4600.0,800.0,14.8,4.5,3.83,0.67,✓,20.0≥20
50,1500,1锚×3h+1峰×3h,2,6.0,54.0,93%,25.0,80,5400.0,100,3750.0,2400,6150.0,5500.0,650.0,10.6,4.1,3.67,0.43,✓,25.0≥20
60,1800,1锚×3h+2峰×2h,3,7.0,61.0,98%,20.0,160,6300.0,100,4500.0,4800,9300.0,6400.0,2900.0,31.2,5.17,3.56,1.61,✓,20.0≥20
70,2100,1锚×3h+2峰×2.5h,3,8.0,72.0,97%,23.3,160,7200.0,100,5250.0,4800,10050.0,7300.0,2750.0,27.4,4.79,3.48,1.31,✓,23.3≥20
80,2400,1锚×3h+3峰×2h,4,9.0,81.0,99%,20.0,240,8100.0,100,6000.0,7200,13200.0,8200.0,5000.0,37.9,5.5,3.42,2.08,✓,20.0≥20
90,2700,1锚×3h+3峰×2.5h,4,10.5,98.0,92%,22.5,240,9450.0,100,6750.0,7200,13950.0,9550.0,4400.0,31.5,5.17,3.54,1.63,✓,22.5≥20
100,3000,1锚×3h+4峰×2h,5,11.0,101.0,99%,20.0,320,9900.0,100,7500.0,9600,17100.0,10000.0,7100.0,41.5,5.7,3.33,2.37,✓,20.0≥20
120,3600,1锚×3h+5峰×2h,6,13.0,121.0,99%,20.0,400,11700.0,100,9000.0,12000,21000.0,11800.0,9200.0,43.8,5.83,3.28,2.56,✓,20.0≥20
150,4500,1锚×3h+6峰×2.5h,7,18.0,172.0,87%,21.4,480,16200.0,100,11250.0,14400,25650.0,16300.0,9350.0,36.5,5.7,3.62,2.08,✓,21.4≥20
180,5400,1锚×3h+8峰×2h,9,19.0,181.0,99%,20.0,640,17100.0,100,13500.0,19200,32700.0,17200.0,15500.0,47.4,6.06,3.19,2.87,✓,20.0≥20
200,6000,1锚×3h+9峰×2h,10,21.0,201.0,100%,20.0,720,18900.0,100,15000.0,21600,36600.0,19000.0,17600.0,48.1,6.1,3.17,2.93,✓,20.0≥20
250,7500,1锚×3h+11峰×2.5h,12,30.5,298.0,84%,20.8,880,27450.0,100,18750.0,26400,45150.0,27550.0,17600.0,39.0,6.02,3.67,2.35,✓,20.8≥20
300,9000,1锚×3h+14峰×2h,15,31.0,301.0,100%,20.0,1120,27900.0,100,22500.0,33600,56100.0,28000.0,28100.0,50.1,6.23,3.11,3.12,✓,20.0≥20
350,10500,1锚×3h+16峰×2.5h,17,43.0,422.0,83%,20.6,1280,38700.0,100,26250.0,38400,64650.0,38800.0,25850.0,40.0,6.16,3.7,2.46,✓,20.6≥20
400,12000,1锚×3h+19峰×2h,20,41.0,401.0,100%,20.0,1520,36900.0,100,30000.0,45600,75600.0,37000.0,38600.0,51.1,6.3,3.08,3.22,✓,20.0≥20
450,13500,1锚×3h+21峰×2.5h,22,55.5,548.0,82%,20.5,1680,49950.0,100,33750.0,50400,84150.0,50050.0,34100.0,40.5,6.23,3.71,2.53,✓,20.5≥20
500,15000,1锚×3h+24峰×2h,25,51.0,501.0,100%,20.0,1920,45900.0,100,37500.0,57600,95100.0,46000.0,49100.0,51.6,6.34,3.07,3.27,✓,20.0≥20
