配置,人数,时长(h),日单量,场景,日毛利,补贴达标
2人×3h (最低配),2,3.0,10,推广期,-158.0,✗
2人×3h (最低配),2,3.0,10,常规期,-163.0,✗
2人×4h,2,4.0,10,推广期,-218.0,✗
2人×4h,2,4.0,10,常规期,-223.0,✗
2人×6h,2,6.0,10,推广期,-338.0,✗
2人×6h,2,6.0,10,常规期,-343.0,✗
3人×3h,3,3.0,10,推广期,-248.0,✗
3人×3h,3,3.0,10,常规期,-253.0,✗
3人×4h,3,4.0,10,推广期,-338.0,✗
3人×4h,3,4.0,10,常规期,-343.0,✗
3人×6h,3,6.0,10,推广期,-518.0,✗
3人×6h,3,6.0,10,常规期,-523.0,✗
4人×4h,4,4.0,10,推广期,-458.0,✗
4人×4h,4,4.0,10,常规期,-463.0,✗
4人×6h,4,6.0,10,推广期,-698.0,✗
4人×6h,4,6.0,10,常规期,-703.0,✗
5人×6.5h (绿地星玥),5,6.5,10,推广期,-953.0,✗
5人×6.5h (绿地星玥),5,6.5,10,常规期,-958.0,✗
2人×3h (最低配),2,3.0,20,推广期,-133.0,✗
2人×3h (最低配),2,3.0,20,常规期,-143.0,✗
2人×4h,2,4.0,20,推广期,-193.0,✗
2人×4h,2,4.0,20,常规期,-203.0,✗
2人×6h,2,6.0,20,推广期,-313.0,✗
2人×6h,2,6.0,20,常规期,-323.0,✗
3人×3h,3,3.0,20,推广期,-223.0,✗
3人×3h,3,3.0,20,常规期,-233.0,✗
3人×4h,3,4.0,20,推广期,-313.0,✗
3人×4h,3,4.0,20,常规期,-323.0,✗
3人×6h,3,6.0,20,推广期,-493.0,✗
3人×6h,3,6.0,20,常规期,-503.0,✗
4人×4h,4,4.0,20,推广期,-433.0,✗
4人×4h,4,4.0,20,常规期,-443.0,✗
4人×6h,4,6.0,20,推广期,-673.0,✗
4人×6h,4,6.0,20,常规期,-683.0,✗
5人×6.5h (绿地星玥),5,6.5,20,推广期,-928.0,✗
5人×6.5h (绿地星玥),5,6.5,20,常规期,-938.0,✗
2人×3h (最低配),2,3.0,30,推广期,-108.0,✗
2人×3h (最低配),2,3.0,30,常规期,-123.0,✗
2人×4h,2,4.0,30,推广期,-168.0,✗
2人×4h,2,4.0,30,常规期,-183.0,✗
2人×6h,2,6.0,30,推广期,-288.0,✗
2人×6h,2,6.0,30,常规期,-303.0,✗
3人×3h,3,3.0,30,推广期,-198.0,✗
3人×3h,3,3.0,30,常规期,-213.0,✗
3人×4h,3,4.0,30,推广期,-288.0,✗
3人×4h,3,4.0,30,常规期,-303.0,✗
3人×6h,3,6.0,30,推广期,-468.0,✗
3人×6h,3,6.0,30,常规期,-483.0,✗
4人×4h,4,4.0,30,推广期,-408.0,✗
4人×4h,4,4.0,30,常规期,-423.0,✗
4人×6h,4,6.0,30,推广期,-648.0,✗
4人×6h,4,6.0,30,常规期,-663.0,✗
5人×6.5h (绿地星玥),5,6.5,30,推广期,-903.0,✗
5人×6.5h (绿地星玥),5,6.5,30,常规期,-918.0,✗
2人×4h,2,4.0,40,推广期,-143.0,✗
2人×4h,2,4.0,40,常规期,-163.0,✗
2人×6h,2,6.0,40,推广期,-263.0,✗
2人×6h,2,6.0,40,常规期,-283.0,✗
3人×3h,3,3.0,40,推广期,-173.0,✗
3人×3h,3,3.0,40,常规期,-193.0,✗
3人×4h,3,4.0,40,推广期,-263.0,✗
3人×4h,3,4.0,40,常规期,-283.0,✗
3人×6h,3,6.0,40,推广期,-443.0,✗
3人×6h,3,6.0,40,常规期,-463.0,✗
4人×4h,4,4.0,40,推广期,-383.0,✗
4人×4h,4,4.0,40,常规期,-403.0,✗
4人×6h,4,6.0,40,推广期,-623.0,✗
4人×6h,4,6.0,40,常规期,-643.0,✗
5人×6.5h (绿地星玥),5,6.5,40,推广期,-878.0,✗
5人×6.5h (绿地星玥),5,6.5,40,常规期,-898.0,✗
2人×4h,2,4.0,50,推广期,-38.0,✓
2人×4h,2,4.0,50,常规期,-63.0,✓
2人×6h,2,6.0,50,推广期,-158.0,✓
2人×6h,2,6.0,50,常规期,-183.0,✓
3人×4h,3,4.0,50,推广期,-238.0,✗
3人×4h,3,4.0,50,常规期,-263.0,✗
3人×6h,3,6.0,50,推广期,-418.0,✗
3人×6h,3,6.0,50,常规期,-443.0,✗
4人×4h,4,4.0,50,推广期,-358.0,✗
4人×4h,4,4.0,50,常规期,-383.0,✗
4人×6h,4,6.0,50,推广期,-598.0,✗
4人×6h,4,6.0,50,常规期,-623.0,✗
5人×6.5h (绿地星玥),5,6.5,50,推广期,-853.0,✗
5人×6.5h (绿地星玥),5,6.5,50,常规期,-878.0,✗
2人×6h,2,6.0,60,推广期,-133.0,✓
2人×6h,2,6.0,60,常规期,-163.0,✓
3人×4h,3,4.0,60,推广期,-213.0,✗
3人×4h,3,4.0,60,常规期,-243.0,✗
3人×6h,3,6.0,60,推广期,-393.0,✗
3人×6h,3,6.0,60,常规期,-423.0,✗
4人×4h,4,4.0,60,推广期,-333.0,✗
4人×4h,4,4.0,60,常规期,-363.0,✗
4人×6h,4,6.0,60,推广期,-573.0,✗
4人×6h,4,6.0,60,常规期,-603.0,✗
5人×6.5h (绿地星玥),5,6.5,60,推广期,-828.0,✗
5人×6.5h (绿地星玥),5,6.5,60,常规期,-858.0,✗
2人×6h,2,6.0,70,推广期,-108.0,✓
2人×6h,2,6.0,70,常规期,-143.0,✓
3人×6h,3,6.0,70,推广期,-288.0,✓
3人×6h,3,6.0,70,常规期,-323.0,✓
4人×4h,4,4.0,70,推广期,-308.0,✗
4人×4h,4,4.0,70,常规期,-343.0,✗
4人×6h,4,6.0,70,推广期,-548.0,✗
4人×6h,4,6.0,70,常规期,-583.0,✗
5人×6.5h (绿地星玥),5,6.5,70,推广期,-803.0,✗
5人×6.5h (绿地星玥),5,6.5,70,常规期,-838.0,✗
3人×6h,3,6.0,80,推广期,-263.0,✓
3人×6h,3,6.0,80,常规期,-303.0,✓
4人×4h,4,4.0,80,推广期,-283.0,✗
4人×4h,4,4.0,80,常规期,-323.0,✗
4人×6h,4,6.0,80,推广期,-523.0,✗
