骑手费率,骑手剩余,剩余占比,弹性模型倍率,指数模型倍率
0.5,¥2.5,83%,100.0%,100.0%
0.6,¥2.4,80%,100.0%,100.0%
0.7,¥2.3,77%,100.0%,100.0%
0.7999999999999999,¥2.2,73%,100.0%,100.0%
0.8999999999999999,¥2.1,70%,100.0%,100.0%
0.9999999999999999,¥2.0,67%,86.7%,89.0%
1.0999999999999999,¥1.9,63%,78.3%,79.2%
1.1999999999999997,¥1.8,60%,70.0%,70.5%
1.2999999999999998,¥1.7,57%,61.7%,62.7%
1.4,¥1.6,53%,53.3%,55.8%
1.4999999999999998,¥1.5,50%,45.0%,49.7%
1.5999999999999996,¥1.4,47%,45.0%,44.2%
1.6999999999999997,¥1.3,43%,40.0%,39.3%
1.7999999999999998,¥1.2,40%,35.0%,35.0%
1.8999999999999997,¥1.1,37%,30.0%,31.1%
1.9999999999999996,¥1.0,33%,25.0%,27.7%
2.0999999999999996,¥0.9,30%,20.0%,24.7%
2.1999999999999997,¥0.8,27%,21.0%,21.9%
2.3,¥0.7,23%,17.0%,19.5%
2.3999999999999995,¥0.6,20%,13.0%,17.4%
2.4999999999999996,¥0.5,17%,9.0%,15.5%
2.5999999999999996,¥0.4,13%,6.7%,13.8%
2.6999999999999993,¥0.3,10%,5.0%,12.2%
2.7999999999999994,¥0.2,7%,3.3%,10.9%
2.8999999999999995,¥0.1,3%,2.0%,9.7%
2.9999999999999996,¥0.0,0%,2.0%,8.6%
