场景,日单量,人均单量,订单收入,人头补贴,总收入,总成本,毛利,毛利率,补贴达标,单均毛利
推广期(结算2.5元),10,5.0,25.0,0,25.0,183.33,-158.33,-633.3%,✗,-15.83
常规期(结算2.0元),10,5.0,20.0,0,20.0,183.33,-163.33,-816.7%,✗,-16.33
推广期(结算2.5元),20,10.0,50.0,0,50.0,183.33,-133.33,-266.7%,✗,-6.67
常规期(结算2.0元),20,10.0,40.0,0,40.0,183.33,-143.33,-358.3%,✗,-7.17
推广期(结算2.5元),30,15.0,75.0,0,75.0,183.33,-108.33,-144.4%,✗,-3.61
常规期(结算2.0元),30,15.0,60.0,0,60.0,183.33,-123.33,-205.6%,✗,-4.11
推广期(结算2.5元),40,20.0,100.0,0,100.0,183.33,-83.33,-83.3%,✗,-2.08
常规期(结算2.0元),40,20.0,80.0,0,80.0,183.33,-103.33,-129.2%,✗,-2.58
推广期(结算2.5元),50,25.0,125.0,80,205.0,183.33,21.67,10.6%,✓,0.43
常规期(结算2.0元),50,25.0,100.0,80,180.0,183.33,-3.33,-1.9%,✓,-0.07
推广期(结算2.5元),60,30.0,150.0,80,230.0,183.33,46.67,20.3%,✓,0.78
常规期(结算2.0元),60,30.0,120.0,80,200.0,183.33,16.67,8.3%,✓,0.28
推广期(结算2.5元),80,40.0,200.0,80,280.0,183.33,96.67,34.5%,✓,1.21
常规期(结算2.0元),80,40.0,160.0,80,240.0,183.33,56.67,23.6%,✓,0.71
推广期(结算2.5元),100,50.0,250.0,80,330.0,183.33,146.67,44.4%,✓,1.47
常规期(结算2.0元),100,50.0,200.0,80,280.0,183.33,96.67,34.5%,✓,0.97
推广期(结算2.5元),150,75.0,375.0,80,455.0,183.33,271.67,59.7%,✓,1.81
常规期(结算2.0元),150,75.0,300.0,80,380.0,183.33,196.67,51.8%,✓,1.31
