阶段,基准单量,实际单量,骑手费率,结算价,补贴,排班,人数,总工时_h,人均单量,日收入,其中_结算,其中_骑手费,其中_补贴,日人力成本,日利润,月收入,月人力,月人头补贴,月物料,月净利,月净利率,平台月分成,运营方月分成,单均利润,单均运营方分成
引流期,30,26,1.0,2.5,有,1锚+0峰×2.0h,1,3.0,26.0,91.0,65.0,26.0,0,90.0,-2.0,2730.0,2700.0,0,100,-70.0,-2.6%,-35.0,-35.0,-0.09,-0.04
引流期,40,34,1.0,2.5,有,1锚+0峰×2.0h,1,3.0,34.0,119.0,85.0,34.0,0,90.0,26.0,3570.0,2700.0,0,100,770.0,+21.6%,385.0,385.0,0.75,0.38
引流期,50,43,1.0,2.5,有,1锚+1峰×2.0h,2,5.0,21.5,230.0,108.0,43.0,80,150.0,77.0,6915.0,4500.0,2400,100,2315.0,+33.5%,1157.0,1157.0,1.79,0.9
引流期,60,52,1.0,2.5,有,1锚+1峰×2.0h,2,5.0,26.0,262.0,130.0,52.0,80,150.0,109.0,7860.0,4500.0,2400,100,3260.0,+41.5%,1630.0,1630.0,2.09,1.04
引流期,80,69,1.0,2.5,有,1锚+1峰×3.0h,2,6.0,34.5,322.0,172.0,69.0,80,180.0,138.0,9645.0,5400.0,2400,100,4145.0,+43.0%,2072.0,2072.0,2.0,1.0
引流期,100,86,1.0,2.5,有,1锚+2峰×2.5h,3,8.0,28.7,461.0,215.0,86.0,160,240.0,218.0,13830.0,7200.0,4800,100,6530.0,+47.2%,3265.0,3265.0,2.53,1.27
引流期,120,104,1.0,2.5,有,1锚+2峰×3.0h,3,9.0,34.7,524.0,260.0,104.0,160,270.0,251.0,15720.0,8100.0,4800,100,7520.0,+47.8%,3760.0,3760.0,2.41,1.21
引流期,150,130,1.0,2.5,有,1锚+4峰×2.0h,5,11.0,26.0,775.0,325.0,130.0,320,330.0,442.0,23250.0,9900.0,9600,100,13250.0,+57.0%,6625.0,6625.0,3.4,1.7
引流期,200,173,1.0,2.5,有,1锚+4峰×3.0h,5,15.0,34.6,926.0,432.0,173.0,320,450.0,472.0,27765.0,13500.0,9600,100,14165.0,+51.0%,7082.0,7082.0,2.73,1.36
引流期,250,216,1.0,2.5,有,1锚+5峰×3.0h,6,18.0,36.0,1156.0,540.0,216.0,400,540.0,613.0,34680.0,16200.0,12000,100,18380.0,+53.0%,9190.0,9190.0,2.84,1.42
引流期,300,260,1.0,2.5,有,1锚+8峰×2.5h,9,23.0,28.9,1550.0,650.0,260.0,640,690.0,857.0,46500.0,20700.0,19200,100,25700.0,+55.3%,12850.0,12850.0,3.29,1.65
引流期,400,346,1.0,2.5,有,1锚+13峰×2.0h,14,29.0,24.7,2251.0,865.0,346.0,1040,870.0,1378.0,67530.0,26100.0,31200,100,41330.0,+61.2%,20665.0,20665.0,3.98,1.99
引流期,500,433,1.0,2.5,有,1锚+17峰×2.0h,18,37.0,24.1,2876.0,1082.0,433.0,1360,1110.0,1762.0,86265.0,33300.0,40800,100,52865.0,+61.3%,26432.0,26432.0,4.07,2.03
