阶段,基准单量,实际单量,骑手费率,结算价,补贴,排班,人数,总工时_h,人均单量,日收入,其中_结算,其中_骑手费,其中_补贴,日人力成本,日利润,月收入,月人力,月人头补贴,月物料,月净利,月净利率,平台月分成,运营方月分成,单均利润,单均运营方分成
补贴归零,30,7,2.0,2.0,无,1锚+0峰×2.0h,1,3.0,7.0,28.0,14.0,14.0,0,90.0,-65.0,840.0,2700.0,0,100,-1960.0,-233.3%,-980.0,-980.0,-9.33,-4.67
补贴归零,40,10,2.0,2.0,无,1锚+0峰×2.0h,1,3.0,10.0,40.0,20.0,20.0,0,90.0,-53.0,1200.0,2700.0,0,100,-1600.0,-133.3%,-800.0,-800.0,-5.33,-2.67
补贴归零,50,12,2.0,2.0,无,1锚+0峰×2.0h,1,3.0,12.0,48.0,24.0,24.0,0,90.0,-45.0,1440.0,2700.0,0,100,-1360.0,-94.4%,-680.0,-680.0,-3.78,-1.89
补贴归零,60,15,2.0,2.0,无,1锚+0峰×2.0h,1,3.0,15.0,60.0,30.0,30.0,0,90.0,-33.0,1800.0,2700.0,0,100,-1000.0,-55.6%,-500.0,-500.0,-2.22,-1.11
补贴归零,80,20,2.0,2.0,无,1锚+0峰×2.0h,1,3.0,20.0,80.0,40.0,40.0,0,90.0,-13.0,2400.0,2700.0,0,100,-400.0,-16.7%,-200.0,-200.0,-0.67,-0.33
补贴归零,100,25,2.0,2.0,无,1锚+0峰×2.0h,1,3.0,25.0,100.0,50.0,50.0,0,90.0,7.0,3000.0,2700.0,0,100,200.0,+6.7%,100.0,100.0,0.27,0.13
补贴归零,120,30,2.0,2.0,无,1锚+0峰×2.0h,1,3.0,30.0,120.0,60.0,60.0,0,90.0,27.0,3600.0,2700.0,0,100,800.0,+22.2%,400.0,400.0,0.89,0.44
补贴归零,150,37,2.0,2.0,无,1锚+1峰×2.0h,2,5.0,18.5,148.0,74.0,74.0,0,150.0,-5.0,4440.0,4500.0,0,100,-160.0,-3.6%,-80.0,-80.0,-0.14,-0.07
补贴归零,200,50,2.0,2.0,无,1锚+1峰×2.0h,2,5.0,25.0,200.0,100.0,100.0,0,150.0,47.0,6000.0,4500.0,0,100,1400.0,+23.3%,700.0,700.0,0.93,0.47
补贴归零,250,62,2.0,2.0,无,1锚+1峰×2.5h,2,5.5,31.0,248.0,124.0,124.0,0,165.0,80.0,7440.0,4950.0,0,100,2390.0,+32.1%,1195.0,1195.0,1.28,0.64
补贴归零,300,75,2.0,2.0,无,1锚+2峰×2.0h,3,7.0,25.0,300.0,150.0,150.0,0,210.0,87.0,9000.0,6300.0,0,100,2600.0,+28.9%,1300.0,1300.0,1.16,0.58
补贴归零,400,100,2.0,2.0,无,1锚+2峰×3.0h,3,9.0,33.3,400.0,200.0,200.0,0,270.0,127.0,12000.0,8100.0,0,100,3800.0,+31.7%,1900.0,1900.0,1.27,0.63
补贴归零,500,125,2.0,2.0,无,1锚+3峰×2.5h,4,10.5,31.2,500.0,250.0,250.0,0,315.0,182.0,15000.0,9450.0,0,100,5450.0,+36.3%,2725.0,2725.0,1.45,0.73
