阶段,基准单量,实际单量,骑手费率,结算价,补贴,排班,人数,总工时_h,人均单量,日收入,其中_结算,其中_骑手费,其中_补贴,日人力成本,日利润,月收入,月人力,月人头补贴,月物料,月净利,月净利率,平台月分成,运营方月分成,单均利润,单均运营方分成
长期补贴,30,7,2.0,2.5,无,1锚+0峰×2.0h,1,3.0,7.0,32.0,18.0,14.0,0,90.0,-62.0,945.0,2700.0,0,100,-1855.0,-196.3%,-927.0,-927.0,-8.83,-4.42
长期补贴,40,10,2.0,2.5,无,1锚+0峰×2.0h,1,3.0,10.0,45.0,25.0,20.0,0,90.0,-48.0,1350.0,2700.0,0,100,-1450.0,-107.4%,-725.0,-725.0,-4.83,-2.42
长期补贴,50,12,2.0,2.5,无,1锚+0峰×2.0h,1,3.0,12.0,54.0,30.0,24.0,0,90.0,-39.0,1620.0,2700.0,0,100,-1180.0,-72.8%,-590.0,-590.0,-3.28,-1.64
长期补贴,60,15,2.0,2.5,无,1锚+0峰×2.0h,1,3.0,15.0,68.0,38.0,30.0,0,90.0,-26.0,2025.0,2700.0,0,100,-775.0,-38.3%,-387.0,-387.0,-1.72,-0.86
长期补贴,80,20,2.0,2.5,有,1锚+0峰×2.0h,1,3.0,20.0,90.0,50.0,40.0,0,90.0,-3.0,2700.0,2700.0,0,100,-100.0,-3.7%,-50.0,-50.0,-0.17,-0.08
长期补贴,100,25,2.0,2.5,有,1锚+0峰×2.0h,1,3.0,25.0,112.0,62.0,50.0,0,90.0,19.0,3375.0,2700.0,0,100,575.0,+17.0%,288.0,288.0,0.77,0.38
长期补贴,120,30,2.0,2.5,有,1锚+0峰×2.0h,1,3.0,30.0,135.0,75.0,60.0,0,90.0,42.0,4050.0,2700.0,0,100,1250.0,+30.9%,625.0,625.0,1.39,0.69
长期补贴,150,37,2.0,2.5,无,1锚+1峰×2.0h,2,5.0,18.5,166.0,92.0,74.0,0,150.0,13.0,4995.0,4500.0,0,100,395.0,+7.9%,197.0,197.0,0.36,0.18
长期补贴,200,50,2.0,2.5,有,1锚+1峰×2.0h,2,5.0,25.0,305.0,125.0,100.0,80,150.0,152.0,9150.0,4500.0,2400,100,4550.0,+49.7%,2275.0,2275.0,3.03,1.52
长期补贴,250,62,2.0,2.5,有,1锚+1峰×2.5h,2,5.5,31.0,359.0,155.0,124.0,80,165.0,191.0,10770.0,4950.0,2400,100,5720.0,+53.1%,2860.0,2860.0,3.08,1.54
长期补贴,300,75,2.0,2.5,有,1锚+2峰×2.0h,3,7.0,25.0,498.0,188.0,150.0,160,210.0,284.0,14925.0,6300.0,4800,100,8525.0,+57.1%,4262.0,4262.0,3.79,1.89
长期补贴,400,100,2.0,2.5,有,1锚+2峰×3.0h,3,9.0,33.3,610.0,250.0,200.0,160,270.0,337.0,18300.0,8100.0,4800,100,10100.0,+55.2%,5050.0,5050.0,3.37,1.68
长期补贴,500,125,2.0,2.5,有,1锚+3峰×2.5h,4,10.5,31.2,802.0,312.0,250.0,240,315.0,484.0,24075.0,9450.0,7200,100,14525.0,+60.3%,7262.0,7262.0,3.87,1.94
