阶段,基准单量,骑手费率,结算价,人头补贴,单量倍率,实际单量,月单量,配置,人数,人均,日人头补贴,月人力,月订单收入,月人头补贴,月总收入,月总成本,月毛利,毛利率,单均毛利,补贴达标
Phase 1 · 引流期（前2周）,40,¥1.0,¥2.5,有,87%,34,1020,1锚+1峰×2.0h,2,17.0,0,4500.0,2550.0,0,2550.0,4600.0,-2050.0,-80.4%,-2.01,✗
Phase 1 · 引流期（前2周）,50,¥1.0,¥2.5,有,87%,43,1290,1锚+1峰×2.5h,2,21.5,80,4950.0,3225.0,2400,5625.0,5050.0,575.0,+10.2%,0.45,✓
Phase 1 · 引流期（前2周）,60,¥1.0,¥2.5,有,87%,52,1560,1锚+1峰×3.0h,2,26.0,80,5400.0,3900.0,2400,6300.0,5500.0,800.0,+12.7%,0.51,✓
Phase 1 · 引流期（前2周）,80,¥1.0,¥2.5,有,87%,69,2070,1锚+2峰×2.5h,3,23.0,160,7200.0,5175.0,4800,9975.0,7300.0,2675.0,+26.8%,1.29,✓
Phase 1 · 引流期（前2周）,100,¥1.0,¥2.5,有,87%,86,2580,1锚+3峰×2.5h,4,21.5,240,9450.0,6450.0,7200,13650.0,9550.0,4100.0,+30.0%,1.59,✓
Phase 1 · 引流期（前2周）,120,¥1.0,¥2.5,有,87%,104,3120,1锚+4峰×2.5h,5,20.8,320,11700.0,7800.0,9600,17400.0,11800.0,5600.0,+32.2%,1.79,✓
Phase 1 · 引流期（前2周）,150,¥1.0,¥2.5,有,87%,130,3900,1锚+5峰×2.5h,6,21.7,400,13950.0,9750.0,12000,21750.0,14050.0,7700.0,+35.4%,1.97,✓
Phase 1 · 引流期（前2周）,200,¥1.0,¥2.5,有,87%,173,5190,1锚+7峰×2.5h,8,21.6,560,18450.0,12975.0,16800,29775.0,18550.0,11225.0,+37.7%,2.16,✓
Phase 1 · 引流期（前2周）,250,¥1.0,¥2.5,有,87%,216,6480,1锚+9峰×2.5h,10,21.6,720,22950.0,16200.0,21600,37800.0,23050.0,14750.0,+39.0%,2.28,✓
Phase 1 · 引流期（前2周）,300,¥1.0,¥2.5,有,87%,260,7800,1锚+12峰×2.0h,13,20.0,960,24300.0,19500.0,28800,48300.0,24400.0,23900.0,+49.5%,3.06,✓
Phase 1 · 引流期（前2周）,400,¥1.0,¥2.5,有,87%,346,10380,1锚+16峰×2.5h,17,20.4,1280,38700.0,25950.0,38400,64350.0,38800.0,25550.0,+39.7%,2.46,✓
Phase 1 · 引流期（前2周）,500,¥1.0,¥2.5,有,87%,433,12990,1锚+20峰×2.5h,21,20.6,1600,47700.0,32475.0,48000,80475.0,47800.0,32675.0,+40.6%,2.52,✓
