阶段,基准单量,骑手费率,结算价,人头补贴,单量倍率,实际单量,月单量,配置,人数,人均,日人头补贴,月人力,月订单收入,月人头补贴,月总收入,月总成本,月毛利,毛利率,单均毛利,补贴达标
Phase 3 · 补贴归零,40,¥2.0,¥2.0,无,25%,10,300,1锚+1峰×2.0h,2,5.0,0,4500.0,600.0,0,600.0,4600.0,-4000.0,-666.7%,-13.33,✗
Phase 3 · 补贴归零,50,¥2.0,¥2.0,无,25%,12,360,1锚+1峰×2.0h,2,6.0,0,4500.0,720.0,0,720.0,4600.0,-3880.0,-538.9%,-10.78,✗
Phase 3 · 补贴归零,60,¥2.0,¥2.0,无,25%,15,450,1锚+1峰×2.0h,2,7.5,0,4500.0,900.0,0,900.0,4600.0,-3700.0,-411.1%,-8.22,✗
Phase 3 · 补贴归零,80,¥2.0,¥2.0,无,25%,20,600,1锚+1峰×2.0h,2,10.0,0,4500.0,1200.0,0,1200.0,4600.0,-3400.0,-283.3%,-5.67,✗
Phase 3 · 补贴归零,100,¥2.0,¥2.0,无,25%,25,750,1锚+1峰×2.0h,2,12.5,0,4500.0,1500.0,0,1500.0,4600.0,-3100.0,-206.7%,-4.13,✗
Phase 3 · 补贴归零,120,¥2.0,¥2.0,无,25%,30,900,1锚+1峰×2.0h,2,15.0,0,4500.0,1800.0,0,1800.0,4600.0,-2800.0,-155.6%,-3.11,✗
Phase 3 · 补贴归零,150,¥2.0,¥2.0,无,25%,37,1110,1锚+1峰×2.0h,2,18.5,0,4500.0,2220.0,0,2220.0,4600.0,-2380.0,-107.2%,-2.14,✗
Phase 3 · 补贴归零,200,¥2.0,¥2.0,无,25%,50,1500,1锚+1峰×3.0h,2,25.0,0,5400.0,3000.0,0,3000.0,5500.0,-2500.0,-83.3%,-1.67,✗
Phase 3 · 补贴归零,250,¥2.0,¥2.0,无,25%,62,1860,1锚+2峰×2.5h,3,20.7,0,7200.0,3720.0,0,3720.0,7300.0,-3580.0,-96.2%,-1.92,✗
Phase 3 · 补贴归零,300,¥2.0,¥2.0,无,25%,75,2250,1锚+2峰×3.0h,3,25.0,0,8100.0,4500.0,0,4500.0,8200.0,-3700.0,-82.2%,-1.64,✗
Phase 3 · 补贴归零,400,¥2.0,¥2.0,无,25%,100,3000,1锚+4峰×2.0h,5,20.0,0,9900.0,6000.0,0,6000.0,10000.0,-4000.0,-66.7%,-1.33,✗
Phase 3 · 补贴归零,500,¥2.0,¥2.0,无,25%,125,3750,1锚+4峰×3.0h,5,25.0,0,13500.0,7500.0,0,7500.0,13600.0,-6100.0,-81.3%,-1.63,✗
