阶段,人头补贴,基准单量,骑手费率,结算价,单量倍率,实际单量,配置,总人数,人均,月人力,月订单收入,月人头补贴,月总收入,月总成本,月毛利,毛利率,单均毛利,补贴达标
推广期(骑手付1元),有,40,¥1.0,¥2.5,87%,34,1锚+1峰×2.0h,2,17.0,4500.0,2550.0,0,2550.0,4600.0,-2050.0,-80.4%,-2.01,✗
推广期(骑手付1元),有,50,¥1.0,¥2.5,87%,43,1锚+1峰×2.5h,2,21.5,4950.0,3225.0,2400,5625.0,5050.0,575.0,+10.2%,0.45,✓
推广期(骑手付1元),有,60,¥1.0,¥2.5,87%,52,1锚+1峰×3.0h,2,26.0,5400.0,3900.0,2400,6300.0,5500.0,800.0,+12.7%,0.51,✓
推广期(骑手付1元),有,80,¥1.0,¥2.5,87%,69,1锚+2峰×2.5h,3,23.0,7200.0,5175.0,4800,9975.0,7300.0,2675.0,+26.8%,1.29,✓
推广期(骑手付1元),有,100,¥1.0,¥2.5,87%,86,1锚+3峰×2.5h,4,21.5,9450.0,6450.0,7200,13650.0,9550.0,4100.0,+30.0%,1.59,✓
推广期(骑手付1元),有,120,¥1.0,¥2.5,87%,104,1锚+4峰×2.5h,5,20.8,11700.0,7800.0,9600,17400.0,11800.0,5600.0,+32.2%,1.79,✓
推广期(骑手付1元),有,150,¥1.0,¥2.5,87%,130,1锚+5峰×2.5h,6,21.7,13950.0,9750.0,12000,21750.0,14050.0,7700.0,+35.4%,1.97,✓
推广期(骑手付1元),有,200,¥1.0,¥2.5,87%,173,1锚+7峰×2.5h,8,21.6,18450.0,12975.0,16800,29775.0,18550.0,11225.0,+37.7%,2.16,✓
推广期(骑手付1元),有,250,¥1.0,¥2.5,87%,216,1锚+9峰×2.5h,10,21.6,22950.0,16200.0,21600,37800.0,23050.0,14750.0,+39.0%,2.28,✓
推广期(骑手付1元),有,300,¥1.0,¥2.5,87%,260,1锚+12峰×2.0h,13,20.0,24300.0,19500.0,28800,48300.0,24400.0,23900.0,+49.5%,3.06,✓
推广期(骑手付1元),有,400,¥1.0,¥2.5,87%,346,1锚+16峰×2.5h,17,20.4,38700.0,25950.0,38400,64350.0,38800.0,25550.0,+39.7%,2.46,✓
推广期(骑手付1元),有,500,¥1.0,¥2.5,87%,433,1锚+20峰×2.5h,21,20.6,47700.0,32475.0,48000,80475.0,47800.0,32675.0,+40.6%,2.52,✓
